Problem,Contest,Index,Tags,solvedCount
Sum of XOR Functions,1879,D,"bitmasks, combinatorics, divide and conquer, dp, math",5249
Mad City,1873,H,"dfs and similar, dsu, games, graphs, shortest paths, trees",4947
Selling a Menagerie,1872,F,"dfs and similar, dsu, graphs, implementation, math",4746
Prefix Purchase,1870,D,"greedy, implementation, sortings",5470
Candy Party (Easy Version),1868,B1,"bitmasks, constructive algorithms, graphs, greedy, implementation, math",5484
Cyclic Operations,1867,D,"brute force, constructive algorithms, dfs and similar, graphs, greedy, implementation",4537
Completely Searching for Inversions,1866,C,"dfs and similar, dp, graphs",2528
Matrix Cascade,1864,D,"brute force, constructive algorithms, data structures, dp, greedy, math",5656
Magic Will Save the World,1862,F,"binary search, bitmasks, brute force, dp",4684
Sorting By Multiplication,1861,D,"dp, greedy",5149
Andrey and Escape from Capygrad,1859,D,"binary search, data structures, dp, dsu, greedy, sortings",5820
PermuTree (easy version),1856,E1,"dfs and similar, dp, trees",4224
Dual (Hard Version),1854,A2,"constructive algorithms, math",6050
Imbalanced Arrays,1852,B,"constructive algorithms, graphs, greedy, math, sortings, two pointers",3546
Ntarsis' Set,1852,A,"binary search, math, number theory",6625
Lisa and the Martians,1851,F,"bitmasks, greedy, math, strings, trees",4490
The Third Letter,1850,H,"dfs and similar, dsu, graphs, greedy, implementation",6267
Array Painting,1849,D,"constructive algorithms, greedy, two pointers",6747
Vika and Price Tags,1848,C,"math, number theory",5288
Professor Higashikata,1847,D,"data structures, dsu, greedy, implementation, strings",3243
Rudolf and CodeVid-23,1846,G,"bitmasks, dp, graphs, greedy, shortest paths",3573
Rudolph and Mimic,1846,F,"constructive algorithms, implementation, interactive",2465
Rudolf and Snowflakes (hard version),1846,E2,"binary search, brute force, implementation, math",5845
Rating System,1845,D,"binary search, brute force, data structures, dp, dsu, greedy, math, two pointers",6499
Omsk Metro (simple version),1843,F1,"data structures, dfs and similar, dp, graphs, greedy, math, trees",4431
Tenzing and His Animal Friends ,1842,D,"constructive algorithms, graphs, greedy",3576
Ranom Numbers,1841,C,"brute force, dp, greedy, math, strings",6626
k-th equality,1835,A,"brute force, implementation, math",6695
Survey in Class,1834,D,"brute force, data structures, greedy, implementation, sortings",3793
Ksyusha and Chinchilla,1833,G,"constructive algorithms, dfs and similar, dp, dsu, greedy, implementation, trees",4243
Ira and Flamenco,1833,F,"combinatorics, constructive algorithms, data structures, implementation, math, sortings, two pointers",5759
Don't Blame Me,1829,H,"bitmasks, combinatorics, dp, math",5955
Running Miles,1826,D,"brute force, dp, greedy",6776
LuoTianyi and the Floating Islands (Easy Version),1824,B1,"combinatorics, math, probabilities, trees",3910
Unique Palindromes,1823,D,"constructive algorithms, math, strings",3288
Magic Triples (Easy Version),1822,G1,"brute force, data structures, math, number theory",5577
Gardening Friends,1822,F,"brute force, dfs and similar, dp, graphs, trees",4791
Black Cells,1821,D,"binary search, brute force, greedy, math",4271
The Butcher,1819,B,"geometry, greedy, implementation, sortings, two pointers",3112
Fish Graph,1817,B,"brute force, constructive algorithms, dfs and similar, graphs",3435
Long Legs,1814,B,"brute force, math",8557
Climbing the Tree,1810,D,"binary search, math",6472
Binary String Sorting,1809,D,"constructive algorithms, greedy",5248
Unlucky Numbers,1808,C,"brute force, dp, greedy, implementation",3224
Bouncy Ball,1807,F,"brute force, dfs and similar, implementation",5242
"A Wide, Wide Graph",1805,D,"dfs and similar, dp, graphs, greedy, trees",5361
Music Festival,1801,C,"binary search, data structures, dp, greedy, sortings",2848
Buying gifts,1801,B,"data structures, greedy, sortings",5160
Dasha and Nightmares,1800,F,"bitmasks, hashing, meet-in-the-middle, strings",3182
Hot Start Up (easy version),1799,D1,dp,3574
Double Lexicographically Minimum,1799,C,"greedy, strings",5011
Candy Store,1798,C,"greedy, math, number theory",7141
Li Hua and Tree,1797,D,"brute force, data structures, dfs and similar, dp, implementation, trees",3270
Counting Factorizations,1794,D,"combinatorics, divide and conquer, dp, math, number theory",3033
Moscow Gorillas,1793,D,"binary search, dp, greedy, implementation, math, two pointers",5232
Fixed Prefix Permutations,1792,D,"binary search, bitmasks, data structures, hashing, math, sortings",5432
Teleporters (Hard Version),1791,G2,"binary search, greedy, sortings",3990
Game on Axis,1787,D,"combinatorics, dfs and similar, dsu, graphs, implementation",3055
Letter Exchange,1784,B,constructive algorithms,3040
Yet Another Tournament,1783,C,"binary search, greedy, sortings",8078
Many Perfect Squares,1781,D,"brute force, math, number theory",4899
Bit Guessing Game,1780,D,"binary search, bitmasks, constructive algorithms, interactive",4250
Boris and His Amazing Haircut,1779,D,"constructive algorithms, data structures, dp, dsu, greedy, sortings",6904
Score of a Tree,1777,D,"bitmasks, combinatorics, dfs and similar, dp, math, probabilities, trees",2883
Quiz Master,1777,C,"binary search, math, number theory, sortings, two pointers",6825
Train Splitting,1776,F,"constructive algorithms, graphs, greedy",2825
Friendly Spiders,1775,D,"dfs and similar, graphs, math, number theory, shortest paths",5057
Two Chess Pieces,1774,E,"dfs and similar, dp, greedy, trees",3091
King's Puzzle,1773,K,constructive algorithms,1252
Amazing Trick,1773,A,"constructive algorithms, graph matchings, math, probabilities",1336
Permutation Game,1772,E,games,5813
Koxia and Number Theory,1770,C,"brute force, chinese remainder theorem, math, number theory",7791
Игра в Девятку I,1769,D1,"*special, brute force, dp",348
Lucky Permutation,1768,D,"constructive algorithms, dfs and similar, graphs, greedy",6126
Watch the Videos,1765,D,"binary search, constructive algorithms, two pointers",3527
SlavicG's Favorite Problem,1760,G,"bitmasks, dfs and similar, graphs",6114
Restore the Permutation,1759,G,"binary search, constructive algorithms, data structures, greedy, math",3836
All Possible Digits,1759,F,"binary search, data structures, greedy, math, number theory",3390
Range = √Sum,1758,D,"binary search, brute force, constructive algorithms, math, two pointers",6259
Count GCD,1750,D,"combinatorics, math, number theory",5027
Counting Arrays,1749,D,"combinatorics, dp, math, number theory",4883
Yet Another Problem,1747,D,"binary search, bitmasks, constructive algorithms, data structures",4179
Paths on the Tree,1746,D,"dfs and similar, dp, greedy, sortings, trees",4166
Divisible Numbers (hard version),1744,E2,"brute force, math, number theory",4697
Problem with Random Tests,1743,D,"brute force, dp, greedy, probabilities",6850
Hanging Hearts,1740,E,"constructive algorithms, data structures, dfs and similar, dp, greedy, trees",3795
Reset K Edges,1739,D,"binary search, data structures, dfs and similar, graphs, greedy, trees",4452
Permutation Addicts,1738,D,"constructive algorithms, data structures, dfs and similar, dsu, graphs, trees",3142
Meta-set,1735,D,"brute force, combinatorics, data structures, hashing, math",4991
Slime Escape,1734,D,"data structures, dp, greedy, two pointers",5607
Sheikh (Easy version),1732,C1,"binary search, bitmasks, greedy, two pointers",5042
Valiant's New Map,1731,D,"binary search, brute force, data structures, dp, two pointers",6132
Even Subarrays,1731,C,"bitmasks, brute force, hashing, math, number theory",8182
Kirei and the Linear Function,1729,F,"hashing, math",3748
Guess the Cycle Size,1729,E,"interactive, probabilities",6299
Letter Picking,1728,D,"constructive algorithms, dp, games, two pointers",6370
Moving Both Hands,1725,M,"dp, graphs, shortest paths",2524
Hot Black Hot White,1725,H,"constructive algorithms, math",2317
L-shapes,1722,F,"dfs and similar, implementation",6024
Maximum AND,1721,D,"bitmasks, dfs and similar, divide and conquer, greedy, sortings",5797
Xor-Subsequence (easy version),1720,D1,"bitmasks, brute force, dp, strings, trees, two pointers",5367
Burenka and Traditions (hard version),1718,A2,"data structures, dp, greedy",4629
Burenka and Traditions (easy version),1718,A1,"dp, greedy",5110
Madoka and The Corruption Scheme,1717,D,"combinatorics, constructive algorithms, greedy, math",4039
2+ doors,1715,D,"2-sat, bitmasks, graphs, greedy",4549
Monoblock,1715,C,"combinatorics, data structures, implementation, math",7913
Path Prefixes,1714,G,"binary search, data structures, dfs and similar, trees",6514
Build a Tree and That Is It,1714,F,"constructive algorithms, implementation, trees",2849
Tournament Countdown,1713,D,"constructive algorithms, greedy, interactive, number theory, probabilities",5218
Rorororobot,1709,D,"binary search, data structures, greedy, math",7568
Recover an RBS,1709,C,"constructive algorithms, greedy, implementation, strings",8015
Difference Array,1707,B,"brute force, data structures, implementation, sortings",5257
Chopping Carrots (Easy Version),1706,D1,"binary search, brute force, constructive algorithms, greedy, number theory",6314
Mark and Lightbulbs,1705,D,"combinatorics, constructive algorithms, greedy, math, sortings",5795
Magical Array,1704,D,"constructive algorithms, hashing, implementation, math",4640
Passable Paths (easy version),1702,G1,"dfs and similar, trees",4691
Equate Multisets,1702,F,"constructive algorithms, data structures, greedy, math, number theory",7371
Permutation Restoration,1701,D,"binary search, data structures, greedy, math, sortings, two pointers",5184
River Locks,1700,D,"binary search, dp, greedy, math",5482
Helping the Nature,1700,C,"constructive algorithms, data structures, greedy",9852
The Third Problem,1699,C,"combinatorics, constructive algorithms, math",8879
Guess The String,1697,D,"binary search, constructive algorithms, interactive",4023
Permutation Graph,1696,D,"binary search, constructive algorithms, data structures, divide and conquer, greedy, shortest paths",4925
Zero Path,1695,C,"brute force, data structures, dp, graphs, greedy, shortest paths",9637
Fake Plastic Trees,1693,B,"dfs and similar, dp, greedy, trees",7535
Gambling,1692,H,"data structures, dp, greedy, math",6392
Max GEQ Sum,1691,D,"binary search, constructive algorithms, data structures, divide and conquer, implementation, two pointers",5004
Shifting String,1690,F,"graphs, math, number theory, strings",6316
Lena and Matrix,1689,D,"data structures, dp, geometry, shortest paths",3796
Manipulating History,1688,C,"constructive algorithms, greedy, strings",7556
Railway System,1687,B,"constructive algorithms, graphs, greedy, interactive, sortings",3306
Traps,1684,D,"constructive algorithms, greedy, sortings",8810
Required Length,1681,D,"brute force, dfs and similar, dp, hashing, shortest paths",8649
Toss a Coin to Your Graph...,1679,D,"binary search, dfs and similar, dp, graphs",4152
Tokitsukaze and Good 01-String (hard version),1678,B2,"dp, greedy, implementation",6083
Tokitsukaze and Two Colorful Tapes,1677,C,"constructive algorithms, dfs and similar, graphs, greedy",3146
Tokitsukaze and Meeting,1677,B,"data structures, implementation, math",3791
Vlad and Unfinished Business,1675,F,"dfs and similar, dp, greedy, trees",4602
Desktop Rearrangement,1674,F,"data structures, greedy, implementation",4568
Lost Arithmetic Progression,1673,D,"combinatorics, math, number theory",3038
Cyclic Rotation,1672,D,"constructive algorithms, greedy, implementation, two pointers",5696
Very Suspicious,1670,D,"binary search, brute force, geometry, greedy, implementation, math",4708
Labyrinth,1666,L,"dfs and similar, graphs",2792
Connect the Points,1666,C,"brute force, constructive algorithms, geometry",2866
Progressions Covering,1661,D,"data structures, greedy",4252
Water the Trees,1661,C,"binary search, greedy, math",8463
Promising String (easy version),1660,F1,"brute force, implementation, math, strings",6598
Reverse Sort Sum,1659,D,"constructive algorithms, data structures, greedy, implementation, math, two pointers",3663
Shinju and the Lost Permutation,1658,C,"constructive algorithms, math",8771
K-good,1656,D,"constructive algorithms, math, number theory",6249
Nearest Excluded Points,1651,D,"binary search, data structures, dfs and similar, graphs, shortest paths",4512
Rescheduling the Exam,1650,E,"binary search, data structures, greedy, implementation, math, sortings",3809
Tyler and Strings,1648,C,"combinatorics, data structures, implementation",2723
Integral Array,1648,B,"brute force, constructive algorithms, data structures, math",5810
Madoka and the Best School in Russia,1647,D,"constructive algorithms, dp, math, number theory",4910
Expand the Path,1644,E,"brute force, combinatorics, data structures, implementation, math",2796
Cross Coloring,1644,D,"data structures, implementation, math",6689
Yet Another Minimization Problem,1637,D,"dp, greedy, math",6916
Infinite Set,1635,D,"bitmasks, dp, math, matrices, number theory, strings",5642
Range and Partition,1630,B,"binary search, constructive algorithms, data structures, greedy, two pointers",5245
Peculiar Movie Preferences,1628,B,"greedy, strings",10691
Not Adding,1627,D,"brute force, dp, math, number theory",7334
Monsters And Spells,1626,C,"binary search, data structures, dp, greedy, implementation, math, two pointers",10201
Road Optimization,1625,C,dp,9254
MinOr Tree,1624,G,"bitmasks, dfs and similar, dsu, graphs, greedy",5081
Hidden Permutations,1621,C,"dfs and similar, interactive, math",6478
Replace the Numbers,1620,E,"constructive algorithms, data structures, dsu, implementation",7215
BA-String,1620,C,"brute force, dp, greedy, implementation, math",6034
MEX and Increments,1619,E,"constructive algorithms, data structures, dp, greedy, implementation, math, sortings",8097
New Year's Problem,1619,D,"binary search, greedy, sortings",6795
Singers' Tour,1618,E,"constructive algorithms, math",6574
Too Many Impostors (easy version),1617,D1,"constructive algorithms, implementation, interactive",4339
MEX Sequences,1613,D,"dp, math",4197
ATM and Students,1611,F,"binary search, data structures, two pointers",5703
Escape The Maze (hard version),1611,E2,"dfs and similar, dp, greedy, shortest paths, trees",3389
Escape The Maze (easy version),1611,E1,"dfs and similar, greedy, shortest paths, trees, two pointers",6460
Game Master,1608,C,"data structures, dfs and similar, dp, graphs, greedy, two pointers",6071
Frog Traveler,1601,B,"data structures, dfs and similar, dp, graphs, shortest paths, two pointers",4530
Array Game,1600,E,"games, greedy, two pointers",1827
Training Session,1598,D,"combinatorics, data structures, geometry, implementation, math",8028
The Number of Imposters,1594,D,"constructive algorithms, dfs and similar, dp, dsu, graphs",6678
Half of Same,1593,D2,"brute force, math, number theory",4519
Bakry and Partitioning,1592,C,"bitmasks, constructive algorithms, dfs and similar, dp, graphs, trees",7154
Yet Another Sorting Problem,1585,D,"data structures, math",3466
Omkar and the Meaning of Life,1583,D,"constructive algorithms, greedy, interactive",5066
Omkar and Determination,1583,C,"data structures, dp",6599
Korney Korneevich and XOR (easy version),1582,F1,"bitmasks, dp, greedy",4819
Portal,1580,A,"brute force, data structures, dp, greedy, implementation",3417
Array Stabilization (AND version),1579,F,"brute force, graphs, math, number theory, shortest paths",4327
Array Optimization by Deque,1579,E2,"data structures, greedy",5939
Higher Order Functions,1578,H,"implementation, strings",1885
Divisible by Twenty-Five,1575,D,"brute force, dfs and similar, dp",2255
Book,1572,A,"binary search, brute force, data structures, dp, graphs, implementation, sortings",7995
Fix the String,1571,E,"*special, bitmasks, dp, greedy",284
Sweepstake,1571,D,"*special, brute force, constructive algorithms, implementation, math",298
Rhyme,1571,C,"*special, implementation",340
Inconvenient Pairs,1569,D,"binary search, data structures, implementation, sortings, two pointers",4083
Two Hundred Twenty One (easy version),1562,D1,"data structures, dp, math",5996
Up the Strip (simplified version),1561,D1,"brute force, data structures, dp, math, number theory",5191
Nearest Beautiful Number (easy version),1560,F1,"binary search, bitmasks, brute force, constructive algorithms, dfs and similar, greedy",5620
Polycarp and String Transformation,1560,E,"binary search, implementation, sortings, strings",7282
Up the Strip,1558,B,"brute force, dp, math, number theory, two pointers",4447
Moamen and XOR,1557,C,"bitmasks, combinatorics, dp, math, matrices",7971
Take a Guess,1556,D,"bitmasks, constructive algorithms, interactive, math",6021
Compressed Bracket Sequence,1556,C,"brute force, implementation",5490
Diane,1554,D,"constructive algorithms, greedy, strings",8642
Mikasa,1554,C,"binary search, bitmasks, greedy, implementation",8120
Cobb,1554,B,"bitmasks, brute force, greedy, math",11950
Array Differentiation,1552,D,"bitmasks, brute force, constructive algorithms, dfs and similar, dp, graphs, math",6403
Maximize the Intersections,1552,C,"combinatorics, constructive algorithms, geometry, greedy, sortings",5624
Domino (easy version),1551,D1,"constructive algorithms, math",6570
Manhattan Subarrays,1550,C,"brute force, geometry, greedy, implementation",9536
Integers Have Friends,1548,B,"binary search, data structures, divide and conquer, math, number theory, two pointers",8712
Array Stabilization (GCD version),1547,F,"binary search, brute force, data structures, divide and conquer, number theory, two pointers",5100
AquaMoon and Chess,1545,B,"combinatorics, math",5396
RPD and Rap Sheet (Easy Version),1543,D1,"bitmasks, constructive algorithms, interactive, math",7231
Need for Pink Slips,1543,C,"bitmasks, brute force, dfs and similar, implementation, math, probabilities",5019
Another Problem About Dividing Numbers,1538,D,"constructive algorithms, math, number theory",12345
Deleting Divisors,1537,D,"games, math, number theory",11307
Playoff Tournament,1535,D,"data structures, dfs and similar, dp, implementation, trees",7117
Lost Tree,1534,D,"constructive algorithms, interactive, trees",5531
Kavi on Pairing Duty,1528,B,"combinatorics, dp, math",8136
Palindrome Game (hard version),1527,B2,"constructive algorithms, games",7191
Armchairs,1525,D,"dp, flows, graph matchings, greedy",8811
Explorer Space,1517,D,"dp, graphs, shortest paths",6946
Baby Ehab Partitions Again,1516,C,"bitmasks, constructive algorithms, dp, math",11002
Short Task,1512,G,"brute force, dp, math, number theory",7317
Education,1512,F,"brute force, dp, greedy, implementation",5603
The Sports Festival,1509,C,"dp, greedy",10973
Almost Sorted,1508,B,"binary search, combinatorics, constructive algorithms, implementation",3652
Binary Literature,1508,A,"constructive algorithms, greedy, implementation, strings, two pointers",5781
Cakewalk,1505,E,"*special, greedy, implementation, shortest paths",1672
Xenolith? Hippodrome?,1505,D,"*special, number theory",697
3-Coloring,1503,B,"constructive algorithms, games, interactive",6686
Going Home,1500,A,"brute force, hashing, implementation, math",8242
Square-Free Division (easy version),1497,E1,"data structures, dp, greedy, math, number theory, two pointers",7630
Let's Go Hiking,1495,B,"games, greedy",5648
1D Sokoban,1494,C,"binary search, dp, greedy, implementation, two pointers",5062
Genius's Gambit,1492,D,"bitmasks, constructive algorithms, greedy, math",5729
Zookeeper and The Infinite Zoo,1491,D,"bitmasks, constructive algorithms, dp, greedy, math",6563
Pekora and Trampoline,1491,C,"brute force, data structures, dp, greedy, implementation",7459
Old Floppy Drive ,1490,G,"binary search, data structures, math",5178
Problemsolving Marathon,1488,D,"*special, binary search, greedy",298
Two Policemen,1488,C,"*special, binary search, brute force, math",375
RBS Deletion,1488,B,"*special, greedy",501
Guessing the Greatest (hard version),1486,C2,"binary search, interactive",7679
Floor and Mod,1485,C,"binary search, brute force, math, number theory",9050
Playlist,1482,D,"data structures, dsu, implementation, shortest paths",3626
Painting the Array I,1479,B1,"constructive algorithms, data structures, dp, greedy, implementation",6494
Searching Local Minimum,1479,A,"binary search, interactive, ternary search",10596
Nezzar and Symmetric Array,1478,C,"implementation, math, sortings",9128
Nezzar and Binary String,1477,B,"data structures, greedy",2954
Nezzar and Board,1477,A,"constructive algorithms, math, number theory",5464
Journey,1476,D,"dfs and similar, dp, dsu, implementation",8100
Strange Beauty,1475,G,"dp, math, number theory, sortings",5943
Unusual Matrix,1475,F,"2-sat, brute force, constructive algorithms",4851
Cleaning the Phone,1475,D,"binary search, dp, sortings, two pointers",9179
Array Destruction,1474,C,"brute force, constructive algorithms, data structures, greedy, implementation, sortings",11592
Program,1473,D,"data structures, dp, implementation, strings",8889
Correct Placement,1472,E,"binary search, data structures, dp, sortings, two pointers",7331
Strange Definition,1470,B,"bitmasks, graphs, hashing, math, number theory",5939
Ceil Divisions,1469,D,"brute force, constructive algorithms, math, number theory",8839
Road Reform,1468,J,"dsu, graphs, greedy",3615
Full Turn,1468,F,"geometry, hashing, number theory",3410
Firecrackers,1468,D,"binary search, sortings",4221
Three Bags,1467,C,"constructive algorithms, greedy",6020
Hills And Valleys,1467,B,"brute force, implementation",10421
Apollo versus Pan,1466,E,"bitmasks, brute force, math",6630
Pairs,1463,D,"binary search, constructive algorithms, greedy, two pointers",4073
Busy Robot,1463,C,implementation,5275
The Treasure of The Segments,1462,F,"binary search, data structures, greedy",6326
Close Tuples (hard version),1462,E2,"binary search, combinatorics, implementation, math, sortings, two pointers",8633
Checkpoints,1453,D,"brute force, constructive algorithms, greedy, math, probabilities",3989
Triangles,1453,C,"greedy, implementation",5881
Circle Game,1451,D,"games, geometry, math",8996
Rating Compression,1450,D,"binary search, data structures, greedy, implementation, two pointers",5123
Catching Cheaters,1446,B,"dp, strings",7193
Divide and Sum,1444,B,"combinatorics, math, sortings",5831
Identify the Operations,1442,B,"combinatorics, data structures, dsu, greedy, implementation",4168
Extreme Subtraction,1442,A,"constructive algorithms, dp, greedy",8215
Binary Table (Hard Version),1439,A2,"constructive algorithms, graphs, greedy, implementation",4819
Chef Monocarp,1437,C,"dp, flows, graph matchings, greedy, math, sortings",9619
Bandit in a City,1436,D,"binary search, dfs and similar, graphs, greedy, trees",5600
String Reversal,1430,E,"data structures, greedy, strings",5864
String Deletion,1430,D,"binary search, data structures, greedy, two pointers",8479
Bouncing Boomerangs,1428,D,"constructive algorithms, greedy, implementation",4296
"Rock, Paper, Scissors",1426,E,"brute force, constructive algorithms, flows, greedy, math",6934
Valuable Paper,1423,B,"binary search, flows, graph matchings, graphs",1667
Bargain,1422,C,"combinatorics, dp, math",7848
Hexagons,1421,D,"brute force, constructive algorithms, greedy, implementation, math, shortest paths",3973
Rescue Nibel!,1420,D,"combinatorics, data structures, sortings",6990
Shurikens,1413,D,"data structures, greedy, implementation",6147
Perform Easily,1413,C,"binary search, brute force, dp, implementation, sortings, two pointers",5381
Peaceful Rooks,1411,C,"dfs and similar, dsu, graphs",7532
Two Platforms,1409,E,"binary search, dp, sortings, two pointers",7231
Link Cut Centroids,1406,C,"constructive algorithms, dfs and similar, graphs, trees",9421
Tree Tag,1404,B,"dfs and similar, dp, games, trees",6860
Fancy Fence,1402,A,"*special, data structures, dsu, implementation, math, sortings",1062
Maximum Distributed Tree,1401,D,"dfs and similar, dp, greedy, implementation, math, number theory, sortings, trees",8516
Zigzags,1400,D,"brute force, combinatorics, data structures, math, two pointers",9331
RPG Protagonist,1400,B,"brute force, greedy, math",10666
Colored Rectangles,1398,D,"dp, greedy, sortings",10573
Stoned Game,1396,B,"brute force, constructive algorithms, games, greedy",10409
Boboniu Chats with Du,1394,A,"dp, greedy, sortings, two pointers",6288
Pinkie Pie Eats Patty-cakes,1393,C,"constructive algorithms, greedy, math, sortings",10036
Omkar and Bed Wars,1392,D,"dp, greedy",8122
Uncle Bogdan and Country Happiness,1388,C,"dfs and similar, greedy, math, trees",9070
Koa and the Beach (Easy Version),1384,B1,"brute force, dp, greedy",3765
GameGame,1383,B,"bitmasks, constructive algorithms, dp, games, greedy, math",4633
String Transformation 1,1383,A,"dsu, graphs, greedy, sortings, strings, trees, two pointers",9999
Unmerge,1381,B,dp,8203
Prefix Flip (Hard Version),1381,A2,"constructive algorithms, data structures, implementation, strings, two pointers",12443
Replace by MEX,1375,D,"brute force, constructive algorithms, sortings",8393
Asterism (Easy Version),1371,E1,"binary search, brute force, combinatorics, math, number theory, sortings",4860
TediousLee,1369,D,"dp, graphs, greedy, math, trees",8060
"AND, OR and square sum",1368,D,"bitmasks, greedy, math",10767
Necklace Assembly,1367,E,"brute force, dfs and similar, dp, graphs, greedy, number theory",4988
Task On The Board,1367,D,"constructive algorithms, greedy, implementation, sortings",7755
Maximum Subsequence Value,1365,E,"brute force, constructive algorithms",7278
Solve The Maze,1365,D,"constructive algorithms, dfs and similar, dsu, graphs, greedy, implementation, shortest paths",15073
Johnny and Grandmaster,1361,B,"greedy, implementation, math, sortings",3325
Johnny and Contribution,1361,A,"constructive algorithms, graphs, greedy, sortings",8010
A/B Matrix,1360,G,"constructive algorithms, greedy, math",7169
Spy-string,1360,F,"bitmasks, brute force, constructive algorithms, dp, hashing, strings",11415
Mixing Water,1359,C,"binary search, math",12793
The Best Vacation,1358,D,"binary search, brute force, greedy, implementation, two pointers",7778
Count Triangles,1355,C,"binary search, implementation, math, two pointers",9874
Multiset,1354,D,"binary search, data structures",7878
K-periodic Garland,1353,E,"brute force, dp, greedy",6537
Phoenix and Science,1348,D,"binary search, constructive algorithms, greedy, implementation, math",8241
Magic Tricks,1346,E,"*special, dp, graphs",341
Constant Palindrome Sum,1343,D,"brute force, data structures, greedy, two pointers",11880
Multiple Testcases,1342,D,"binary search, constructive algorithms, data structures, greedy, sortings, two pointers",5722
Nastya and Scoreboard,1340,B,"bitmasks, dp, graphs, greedy",7463
Edge Weight Assignment,1338,B,"bitmasks, constructive algorithms, dfs and similar, greedy, math, trees",7777
Xenia and Colorful Gems,1336,B,"binary search, greedy, math, sortings, two pointers",10754
Three Blocks Palindrome (hard version),1335,E2,"brute force, data structures, dp, two pointers",7668
Three Blocks Palindrome (easy version),1335,E1,"binary search, brute force, data structures, dp, two pointers",10122
Minimum Euler Cycle,1334,D,"constructive algorithms, graphs, greedy, implementation",6844
Eugene and an array,1333,C,"binary search, data structures, implementation, two pointers",11799
Walk on Matrix,1332,D,"bitmasks, constructive algorithms, math",7709
Dreamoon Likes Sequences,1329,B,"bitmasks, combinatorics, math",6235
