Problem,Contest,Index,Tags
Recover the String,708,B,"constructive algorithms, greedy, implementation, math"
Vasiliy's Multiset,706,D,"binary search, bitmasks, data structures, trees"
Road to Post Office,702,D,math
Connecting Universities,700,B,"dfs and similar, dp, graphs, trees"
As Fast As Possible,700,A,"binary search, math"
Fix a Tree,698,B,"constructive algorithms, dfs and similar, dsu, graphs, trees"
Puzzles,696,B,"dfs and similar, math, probabilities, trees"
Xor-sequences,691,E,matrices
Swaps in Permutation,691,D,"dfs and similar, dsu, math"
Exponential notation,691,C,"implementation, strings"
Photographs (I),690,E1,
The Wall (medium),690,D2,combinatorics
Recover Polygon (easy),690,B1,
Mike and Chocolate Thieves,689,C,"binary search, combinatorics, math"
The Values You Can Make,687,C,dp
Remainders Game,687,B,"chinese remainder theorem, math, number theory"
Kay and Snowflake,685,B,"data structures, dfs and similar, dp, trees"
Robbers' watch,685,A,"brute force, combinatorics, dp, math"
Exchange of Books,683,H,*special
The Fraction,683,G,*special
Reformat the String,683,F,*special
Hammer throwing,683,E,*special
Alyona and Strings,682,D,"dp, strings"
Iterated Linear Function,678,D,"math, number theory"
Tree Construction,675,D,"data structures, trees"
Recycling Bottles,671,A,"dp, geometry, greedy, implementation"
Correct Bracket Sequence Editor,670,E,"data structures, dsu, strings"
Reberland Linguistics,666,A,"dp, implementation, strings"
Simple Subset,665,D,"constructive algorithms, greedy, number theory"
Rebus,663,A,"constructive algorithms, expression parsing, greedy, math"
Primes in Interval,661,F,*special
Seasons,661,B,*special
Number of Parallelograms,660,D,geometry
You're a Professional,656,G,*special
Ace It!,656,F,*special
Scrambled,656,B,"*special, implementation"
Da Vinci Powers,656,A,*special
Bear and Up-Down,653,C,"brute force, implementation"
Nested Segments,652,D,"data structures, sortings"
Foe Pairs,652,C,"combinatorics, sortings, two pointers"
Image Preview,650,B,"binary search, brute force, dp, two pointers"
Robot Rapping Results Report,645,D,"binary search, dp, graphs"
Processing Queries,644,B,"*special, constructive algorithms, data structures, two pointers"
Little Artem and Dance,641,C,"brute force, constructive algorithms, implementation"
Three-dimensional Turtle Super Computer ,638,D,"brute force, dfs and similar, graphs"
Road Improvement,638,C,"*special, dfs and similar, graphs, greedy, trees"
Spy Syndrome 2,633,C,"data structures, dp, hashing, implementation, sortings, string suffix structures, strings"
The Smallest String Concatenation,632,C,"sortings, strings"
Report,631,C,"data structures, sortings"
Pyramids,630,Q,"geometry, math"
Turn,630,M,"geometry, math"
Parking Lot,630,I,"combinatorics, math"
A rectangle,630,E,math
Factory Repairs,627,B,data structures
XOR Equation,627,A,"dp, math"
Jerry's Protest,626,D,"brute force, combinatorics, dp, probabilities"
Guest From the Past,625,A,"implementation, math"
Graph and String,623,A,"constructive algorithms, graphs"
Optimal Number Permutation,622,D,constructive algorithms
Not Equal on a Segment,622,C,"data structures, implementation"
Wet Shark and Flowers,621,C,"combinatorics, math, number theory, probabilities"
Polyline,617,D,"constructive algorithms, implementation"
Skills,613,B,"binary search, brute force, dp, greedy, sortings, two pointers"
Peter and Snow Blower,613,A,"binary search, geometry, ternary search"
The Union of k-Segments,612,D,"greedy, sortings"
Harmony Analysis,610,C,constructive algorithms
Zuma,607,B,dp
Lazy Student,605,B,"constructive algorithms, data structures, graphs"
Moodular Arithmetic,603,B,"combinatorics, dfs and similar, dsu, math, number theory"
Make Palindrome,600,C,"constructive algorithms, greedy, strings"
Spongebob and Squares,599,D,"brute force, math"
Igor In the Museum,598,D,"dfs and similar, graphs, shortest paths"
Subsequences,597,C,"data structures, dp"
Wilbur and Points,596,C,"combinatorics, greedy, sortings"
The Big Race,592,C,math
Median Smoothing,590,A,implementation
Phillip and Trains,585,B,"dfs and similar, graphs, shortest paths"
Gennady the Dentist,585,A,"brute force, implementation"
Dima and Lisa,584,D,"brute force, math, number theory"
Marina and Vasya,584,C,"constructive algorithms, greedy, strings"
Once Again...,582,B,"constructive algorithms, dp, matrices"
GCD Table,582,A,"constructive algorithms, greedy, number theory"
Three Logos,581,D,"bitmasks, brute force, constructive algorithms, geometry, implementation, math"
Kefa and Dishes,580,D,"bitmasks, dp"
"""Or"" Game",578,B,"brute force, greedy"
A Problem about Polyline,578,A,"geometry, math"
Modulo Sum,577,B,"combinatorics, data structures, dp, two pointers"
Bots,575,H,"combinatorics, dp, math, number theory"
Tablecity,575,D,"constructive algorithms, implementation"
Symmetric and Transitive,568,B,"combinatorics, dp, math"
One-Dimensional Battle Ships,567,D,"binary search, data structures, greedy, sortings"
Geometric Progression,567,C,"binary search, data structures, dp"
Restructuring Company,566,D,"data structures, dsu"
Equivalent Strings,559,B,"divide and conquer, hashing, sortings, strings"
Amr and Chemistry,558,C,"brute force, graphs, greedy, math, shortest paths"
Arthur and Table,557,C,"brute force, data structures, dp, greedy, math, sortings"
Kyoya and Permutation,553,B,"binary search, combinatorics, constructive algorithms, greedy, implementation, math"
Vanya and Triangles,552,D,"brute force, combinatorics, data structures, geometry, math, sortings"
Vanya and Scales,552,C,"brute force, dp, greedy, math, meet-in-the-middle, number theory"
ZgukistringZ,551,B,"brute force, constructive algorithms, implementation, strings"
Regular Bridge,550,D,"constructive algorithms, graphs, implementation"
Haar Features,549,D,"greedy, implementation"
Mike and Feet,547,B,"binary search, data structures, dp, dsu"
Soldier and Number Game,546,D,"constructive algorithms, dp, math, number theory"
Writing Code,543,A,dp
Bad Luck Island,540,D,"dp, probabilities"
School Marks,540,B,"greedy, implementation"
Weird Chess,538,D,"brute force, constructive algorithms, implementation"
Tavas and Malekas,535,D,"greedy, hashing, string suffix structures, strings"
Tavas and Karafs,535,C,"binary search, greedy, math"
Handshakes,534,D,"binary search, constructive algorithms, data structures, greedy"
Correcting Mistakes,533,E,"constructive algorithms, dp, greedy, hashing, strings, two pointers"
Board Game,533,C,"games, greedy, implementation, math"
Sum and product,530,E,*special
Group Photo 2 (online mirror version),529,B,"brute force, greedy, sortings"
Clique Problem,527,D,"data structures, dp, greedy, implementation, sortings"
The Art of Dealing with ATM,524,C,"binary search, sortings"
Фото на память - 2 (round version),524,B,"dp, greedy"
A and B and Interesting Substrings,519,D,"data structures, dp, two pointers"
Ilya and Escalator,518,D,"combinatorics, dp, math, probabilities"
Inversions problem,513,G1,"brute force, dfs and similar, dp, meet-in-the-middle"
Permutations,513,B2,"bitmasks, divide and conquer, math"
Fox And Jumping,510,D,"bitmasks, brute force, dp, math"
Guess Your Way Out!,507,C,"implementation, math, trees"
"Mr. Kitayuta, the Treasure Hunter",505,C,"dfs and similar, dp, two pointers"
New Year Santa Network,500,D,"combinatorics, dfs and similar, graphs, trees"
Crazy Town,498,A,geometry
Tennis Game,496,D,binary search
Vasya and Chess,493,D,"constructive algorithms, games, math"
Vanya and Computer Game,492,D,"binary search, implementation, math, sortings"
Chocolate,490,D,"brute force, dfs and similar, math, meet-in-the-middle, number theory"
Hacking Cypher,490,C,"brute force, math, number theory, strings"
Unbearable Controversy of Being,489,D,"brute force, combinatorics, dfs and similar, graphs"
Candy Boxes,488,B,"brute force, constructive algorithms, math"
Fight the Monster,487,A,"binary search, brute force, implementation"
Palindrome Transformation,486,C,"brute force, greedy, implementation"
Bits,484,A,"bitmasks, constructive algorithms"
Friends and Presents,483,B,"binary search, math"
Interesting Array,482,B,"constructive algorithms, data structures, trees"
Riding in a Lift,479,E,"combinatorics, dp"
Long Jumps,479,D,"binary search, greedy, implementation"
Table Decorations,478,C,greedy
Dreamoon and Sets,476,D,"constructive algorithms, greedy, math"
Flowers,474,D,dp
Design Tutorial: Inverse the Problem,472,D,"dfs and similar, dsu, shortest paths, trees"
MUH and Cube Walls,471,D,"string suffix structures, strings"
MUH and House of Cards,471,C,"binary search, brute force, greedy, math"
Chessboard,470,E,*special
Caesar Cipher,470,D,*special
Eval,470,C,*special
Hexakosioihexekontahexaphobia,470,B,*special
George and Job,467,C,"dp, implementation"
Number of Ways,466,C,"binary search, brute force, data structures, dp, two pointers"
No to Palindromes!,464,A,"greedy, strings"
Gargari and Permutations,463,D,"dfs and similar, dp, graphs, implementation"
Gargari and Bishops,463,C,"greedy, hashing, implementation"
Present,460,C,"binary search, data structures, greedy"
Pashmak and Graph,459,E,"dp, sortings"
Pashmak and Parmida's problem,459,D,"data structures, divide and conquer, sortings"
Pashmak and Buses,459,C,"combinatorics, constructive algorithms, math"
Distributed Join,457,B,greedy
Golden System,457,A,"math, meet-in-the-middle"
A Lot of Games,455,B,"dfs and similar, dp, games, implementation, strings, trees"
"Washer, Dryer, Folder",452,D,"greedy, implementation"
4-point polyline,452,B,"brute force, constructive algorithms, geometry, trees"
Predict Outcome of the Game,451,C,"brute force, implementation, math"
Jzzhu and Chocolate,449,A,"greedy, math"
Multiplication Table,448,D,"binary search, brute force"
Painting Fence,448,C,"divide and conquer, dp, greedy"
Andrey and Problem,442,B,"greedy, math, probabilities"
Borya and Hanabi,442,A,"bitmasks, brute force, implementation"
One-Based Arithmetic,440,C,"brute force, dfs and similar, divide and conquer"
Devu and his Brother,439,D,"binary search, sortings, ternary search, two pointers"
Devu and Partitioning of the Array,439,C,"brute force, constructive algorithms, implementation, number theory"
The Child and Zoo,437,D,"dsu, sortings"
Dungeons and Candies,436,C,"dsu, graphs, greedy, trees"
Ryouko's Memory Note,433,C,"implementation, math, sortings"
Prime Swaps,432,C,"greedy, sortings"
Checkposts,427,C,"dfs and similar, graphs, two pointers"
Bug in Code,421,D,"binary search, data structures, sortings"
Bug in Code,420,C,"data structures, graphs, implementation, two pointers"
Online Meeting,420,B,implementation
Cunning Gena,417,D,"bitmasks, dp, greedy, sortings"
E-mail Addresses,412,E,implementation
Kicker,411,C,implementation
000001,409,F,*special
Dome,409,E,*special
Big Data,409,D,*special
Magnum Opus,409,C,*special
Mysterious Language,409,B,*special
The Great Game,409,A,*special
Toy Sum,405,D,"greedy, implementation, math"
Minesweeper 1D,404,D,"dp, implementation"
Restore Graph,404,C,"dfs and similar, graphs, sortings"
Upgrading Array,402,D,"dp, greedy, math, number theory"
Fox and Minimal path,388,B,"bitmasks, constructive algorithms, graphs, implementation, math"
George and Number,387,C,"greedy, implementation"
Bear and Prime Numbers,385,C,"binary search, brute force, data structures, dp, implementation, math, number theory"
Arithmetic Progression,382,C,"implementation, sortings"
Preparing for the Contest,377,B,"binary search, data structures, greedy, sortings"
Inna and Dima,374,C,"dfs and similar, dp, graphs, implementation"
Counting Rectangles is Fun,372,B,"brute force, divide and conquer, dp"
Vessels,371,D,"data structures, dsu, implementation, trees"
Mittens,370,C,"constructive algorithms, greedy, sortings"
Sereja ans Anagrams,367,B,"binary search, data structures"
Dima and Salad,366,C,dp
Renting Bikes,363,D,"binary search, greedy"
Insertion Sort,362,C,"data structures, dp, implementation, math"
Levko and Array Recovery,360,A,"greedy, implementation"
Prime Number,359,C,"math, number theory"
Dima and Hares,358,D,"dp, greedy"
Xenia and Hamming,356,B,"implementation, math"
Two Heaps,353,B,"combinatorics, constructive algorithms, greedy, implementation, math, sortings"
Jeff and Furik,351,B,"combinatorics, dp, probabilities"
Jeff and Rounding,351,A,"dp, greedy, implementation, math"
Color the Fence,349,B,"data structures, dp, greedy, implementation"
Read Time,343,C,"binary search, greedy, two pointers"
Cupboard and Balloons,342,C,geometry
Xenia and Bit Operations,339,D,"data structures, trees"
Xenia and Weights,339,C,"constructive algorithms, dfs and similar, dp, graphs, greedy, shortest paths"
Vasily the Bear and Sequence,336,C,"brute force, greedy, implementation, number theory"
Vasily the Bear and Fly,336,B,math
Palindrome,335,B,"constructive algorithms, dp"
Chips,333,B,greedy
Shave Beaver!,331,B2,data structures
Shave Beaver!,331,B1,implementation
IQ Test,328,A,implementation
Block Tower,327,D,"constructive algorithms, dfs and similar, graphs"
Magic Five,327,C,"combinatorics, math"
Stadium and Games,325,B,"binary search, math"
Ciel and Duel,321,B,"dp, flows, greedy"
Ciel and Robot,321,A,"binary search, implementation, math"
Psychos in a Line,319,B,"data structures, implementation"
Good Substrings,316,G1,"hashing, strings"
Memory for Arrays,309,C,"binary search, bitmasks, greedy"
Continued Fractions,305,B,"brute force, implementation, math"
Rectangle Puzzle II,303,B,"implementation, math"
Yaroslav and Sequence,301,A,constructive algorithms
Beautiful Numbers,300,C,"brute force, combinatorics"
Parity Game,297,A,constructive algorithms
Greg and Graph,295,B,"dp, graphs, shortest paths"
Shaass and Lights,294,C,"combinatorics, number theory"
Shaass and Bookshelf,294,B,"dp, greedy"
Copying Data,292,E,data structures
Connected Components,292,D,"data structures, dfs and similar, dp, dsu"
WTF?,290,C,"*special, graph matchings, implementation, trees"
Polo the Penguin and XOR operation,288,C,"implementation, math"
Pipeline,287,B,"binary search, math"
Permutation Sum,285,D,"bitmasks, combinatorics, dp, implementation, meet-in-the-middle"
Cow Program,283,B,"dfs and similar, dp, graphs"
Nearest Fraction,281,B,"brute force, implementation, two pointers"
Maximum Xor Secondary,280,B,"data structures, implementation, two pointers"
Beautiful Decomposition,279,E,"dp, games, greedy, number theory"
Ladder,279,C,"dp, implementation, two pointers"
Little Girl and Maximum XOR,276,D,"bitmasks, dp, greedy, implementation, math"
Convex Shape,275,B,"constructive algorithms, implementation"
Zero Tree,274,B,"dfs and similar, dp, greedy, trees"
Good Substrings,271,D,"data structures, strings"
Greenhouse Effect,269,B,dp
Cycle in Graph,263,D,"dfs and similar, graphs"
Maxim and Restaurant,261,B,"dp, math, probabilities"
Balls and Boxes,260,C,"constructive algorithms, greedy, implementation"
Little Elephant and Elections,258,B,"brute force, combinatorics, dp"
Sum,257,D,"greedy, math"
View Angle,257,C,"brute force, geometry, math"
Mr. Bender and Square,255,D,"binary search, implementation, math"
Anagram,254,C,"greedy, strings"
Unsorting Array,252,B,"brute force, sortings"
Playing with Permutations,251,B,"implementation, math"
Building Bridge,250,D,"geometry, ternary search, two pointers"
Queries for Number of Palindromes,245,H,"dp, hashing, strings"
Game with Coins,245,C,greedy
King's Path,242,C,"dfs and similar, graphs, hashing, shortest paths"
Challenging Balloons,241,G,constructive algorithms
Boring Partition,238,B,constructive algorithms
Fence,234,F,dp
Table,232,B,"bitmasks, combinatorics, dp, math"
Triangles,229,C,"combinatorics, graphs, math"
Planets,229,B,"binary search, data structures, graphs, shortest paths"
The Road to Berland is Paved With Good Intentions,228,E,"2-sat, dfs and similar, dsu, graphs"
Naughty Stone Piles,226,B,greedy
Barcode,225,C,"dp, matrices"
Partial Sums,223,C,"combinatorics, math, number theory"
Two Strings,223,B,"data structures, dp, strings"
Bracket Sequence,223,A,"data structures, expression parsing, implementation"
Decoding Genome,222,E,"dp, matrices"
Olympiad,222,D,"binary search, greedy, sortings, two pointers"
Reducing Fractions,222,C,"implementation, math, number theory, sortings"
Little Elephant and Array,220,B,"constructive algorithms, data structures"
Choosing Capital for Treeland,219,D,"dfs and similar, dp, graphs, trees"
Spider's Web,216,D,"binary search, sortings, two pointers"
Hiring Staff,216,C,greedy
Forming Teams,216,B,"dfs and similar, implementation"
Hot Days,215,D,greedy
Numbers,213,B,"combinatorics, dp"
Game,213,A,"dfs and similar, greedy"
Police Station,208,C,"dp, graphs, shortest paths"
Solitaire,208,B,"dfs and similar, dp"
The Beaver's Problem - 3,207,D9,
The Beaver's Problem - 3,207,D1,
Military Trainings,207,B3,
Military Trainings,207,B2,
Beaver's Calculator 1.0,207,A2,greedy
Hit Ball,203,D,"geometry, implementation, math"
Brand New Easy Problem,202,B,brute force
Guess That Car!,201,B,"math, ternary search"
Clear Symmetry,201,A,"constructive algorithms, dp, math"
Programming Language,200,D,"binary search, brute force, expression parsing, implementation"
Football Championship,200,C,"brute force, implementation"
Special Olympics,199,B,geometry
About Bacteria,198,A,"implementation, math"
Analyzing Polyline,195,D,"geometry, math, sortings"
Try and Catch,195,C,"expression parsing, implementation"
Cutting Figure,193,A,"constructive algorithms, graphs, trees"
Fools and Roads,191,C,"data structures, dfs and similar, trees"
Demonstration,191,B,greedy
Non-Secret Cypher,190,D,two pointers
Surrounded,190,B,geometry
Stack,188,H,"*special, expression parsing, implementation"
AlgoRace,187,B,"dp, shortest paths"
Mushroom Scientists,185,B,"math, ternary search"
Zoo,183,B,"brute force, geometry"
Headquarters,183,A,"constructive algorithms, math"
Wooden Fence,182,E,dp
Cubes,180,E,"binary search, dp, two pointers"
Name,180,D,"greedy, strings"
Defragmentation,180,A,implementation
Representative Sampling,178,F1,
The Beaver's Problem - 2,178,E1,
Magic Squares,178,D2,
Smart Beaver and Resolving Collisions,178,C2,
Greedy Merchants,178,B3,
Script Generation,177,F1,
Space Voyage,177,E2,binary search
Space Voyage,177,E1,binary search
Word Cut,176,B,dp
Range Increments,174,C,"data structures, greedy"
Spiral Maximum,173,C,"brute force, dp"
Chamber of Secrets,173,B,"dfs and similar, shortest paths"
A polyline,171,H,"*special, implementation"
Wizards and Minimal Spell,168,B,"implementation, strings"
Wizards and Huge Prize,167,B,"dp, math, probabilities"
"Variable, or There and Back Again",164,A,"dfs and similar, graphs"
Substring and Subsequence,163,A,dp
Brackets,162,J,*special
Alternating case,162,H,*special
Factorial zeros,162,F,*special
HQ9+,162,E,*special
Remove digits,162,D,*special
Prime factorization,162,C,*special
Binary notation,162,B,*special
Distance in Tree,161,D,"dfs and similar, dp, trees"
Discounts,161,B,"constructive algorithms, greedy, sortings"
Find Pair,160,C,"implementation, math, sortings"
Zebra Tower,159,E,"*special, data structures, greedy, sortings"
Phone Talks,158,E,"*special, dp, sortings"
Message,156,A,brute force
Binary notation,153,B,*special
Coloring Brackets,149,D,dp
Porcelain,148,E,dp
Bag of mice,148,D,"dp, games, math, probabilities"
Terse princess,148,C,"constructive algorithms, greedy"
Lucky Number 2,145,B,constructive algorithms
Missile Silos,144,D,"data structures, dfs and similar, graphs, shortest paths"
Help General,142,B,"constructive algorithms, greedy, implementation"
Queue,141,C,"constructive algorithms, greedy, sortings"
New Year Contest,140,D,"greedy, sortings"
New Year Snowmen,140,C,"binary search, data structures, greedy"
New Year Cards,140,B,"brute force, greedy, implementation"
New Year Table,140,A,"geometry, math"
Digits Permutations,138,B,greedy
Palindromes,137,D,"dp, strings"
Zero-One,135,C,"constructive algorithms, games, greedy"
Pairs of Numbers,134,B,"brute force, dfs and similar, math, number theory"
Logo Turtle,132,C,dp
Yet Another Task with Queens,131,E,sortings
Date calculation,130,J,*special
CAPS LOCK ON,130,G,*special
Password,126,B,"binary search, dp, hashing, string suffix structures, strings"
Hot Bath,126,A,"binary search, brute force, math"
Squares,123,B,math
Lucky Permutation,121,C,"brute force, combinatorics, number theory"
Minimum Sum,120,J,"divide and conquer, geometry, sortings"
Brevity is Soul of Wit,120,H,graph matchings
Boom,120,G,implementation
Before Exam,119,B,"constructive algorithms, implementation, sortings"
Caesar's Legions,118,D,dp
Fancy Number,118,C,"brute force, greedy, sortings, strings"
Very Interesting Game,117,B,"brute force, number theory"
Petya and Divisors,111,B,"binary search, data structures, number theory"
Lucky Tree,109,C,"dp, dsu, trees"
Lucky Probability,109,B,"brute force, probabilities"
Treasure Island,106,D,"brute force, implementation"
Buns,106,C,dp
Dark Assembly,105,B,"brute force, probabilities"
Transmigration,105,A,implementation
Russian Roulette,103,C,"constructive algorithms, greedy"
Buses,101,B,"binary search, data structures, dp"
Name the album,100,G,"*special, data structures, implementation"
Polynom,100,F,"*special, implementation"
Help Victoria the Wise,98,A,"brute force, implementation"
Volleyball,95,C,shortest paths
Lucky Numbers,95,B,"dp, greedy"
End of Exams,93,B,greedy
Frames,93,A,implementation
Robbery,89,A,greedy
Vasya and Types,87,B,"implementation, strings"
Embassy Queue,85,B,"data structures, greedy"
Biathlon,84,C,"binary search, implementation"
Doctor,83,B,"binary search, math, sortings"
Sets,82,B,"constructive algorithms, hashing, implementation"
Average Score,81,C,"greedy, math, sortings"
Sequence Formatting,81,B,"implementation, strings"
Beaver,79,C,"data structures, dp, greedy, hashing, strings, two pointers"
Falling Anvils,77,B,"math, probabilities"
Points,76,E,"implementation, math"
Plus and xor,76,D,"dp, greedy, math"
LionAge II,73,C,dp
Oil,72,F,"*special, greedy, math"
Ali goes shopping,72,E,"*special, brute force, strings"
"Goshtasp, Vishtasp and Eidi",72,A,"*special, greedy, math"
Subsegments,69,E,"data structures, implementation"
Dot,69,D,"dp, games"
Optical Experiment,67,D,"binary search, data structures, dp"
Restoration of the Permutation,67,B,greedy
Partial Teacher,67,A,"dp, graphs, greedy, implementation"
Petya and His Friends,66,D,"constructive algorithms, math, number theory"
Petya and File System,66,C,"data structures, implementation"
Harry Potter and the History of Magic,65,B,"brute force, greedy, implementation"
Harry Potter and Three Spells,65,A,"implementation, math"
Prime Segment,64,E,"*special, brute force, math, number theory"
Presents,64,D,"*special, greedy"
Dividing Island,63,D,constructive algorithms
Bulls and Cows,63,C,"brute force, implementation"
Tyndex.Brome,62,B,"binary search, implementation"
Enemy is weak,61,E,"data structures, trees"
Eternal Victory,61,D,"dfs and similar, graphs, greedy, shortest paths, trees"
Trees,58,C,brute force
Array,57,C,"combinatorics, math"
Corporation Mail,56,C,"data structures, expression parsing, implementation"
Pie or die,55,C,games
Cutting Jigsaw Puzzle,54,B,"hashing, implementation"
Blog Photo,53,B,"binary search, implementation"
Three Base Stations,51,C,"binary search, greedy"
bHTML Tables Analisys,51,B,expression parsing
Game,49,D,"brute force, dp, implementation"
Disposition,49,C,"constructive algorithms, math"
The Race,48,C,math
Comb,46,E,"data structures, dp"
Parking Lot,46,D,"data structures, implementation"
Planting Trees,45,J,constructive algorithms
Event Dates,45,D,"greedy, meet-in-the-middle, sortings"
Dancing Lessons,45,C,data structures
Phone Number,44,H,dp
Hyperdrive,44,D,math
Game of chess unfinished,42,B,implementation
3-cycles,41,E,"constructive algorithms, graphs, greedy"
Pawn,41,D,dp
Let's Go Rolling!,38,E,"dp, sortings"
Vasya the Architect,38,D,implementation
Old Berland Language,37,C,"data structures, greedy, trees"
Computer Game,37,B,"greedy, implementation"
Animals,35,D,"dp, greedy"
Warehouse,35,B,implementation
Wonderful Randomized Sum,33,C,greedy
String Problem,33,B,shortest paths
Flea,32,C,math
Schedule,31,C,implementation
Shooting Gallery,30,C,"dp, probabilities"
Codeforces World Finals,30,B,implementation
Mail Stamps,29,C,"data structures, dfs and similar, graphs, implementation"
Unordered Subsequence,27,C,"constructive algorithms, greedy"
Roads not only in Berland,25,D,"dsu, graphs, trees"
Roads in Berland,25,C,"graphs, shortest paths"
Sequence of points,24,C,"geometry, implementation, math"
Segments,22,D,"greedy, sortings"
System Administrator,22,C,graphs
Jabber ID,21,A,"implementation, strings"
Dijkstra?,20,C,"graphs, shortest paths"
BerOS file system,20,A,implementation
Checkout Assistant,19,B,dp
Platforms,18,B,"brute force, math"
Fish,16,E,"bitmasks, dp, probabilities"
Logging,16,D,"implementation, strings"
Monitor,16,C,"binary search, number theory"
Laser,15,B,math
Camels,14,E,dp
Two Paths,14,D,"dfs and similar, dp, graphs, shortest paths, trees, two pointers"
Four Segments,14,C,"brute force, constructive algorithms, geometry, implementation, math"
How many trees?,9,D,"combinatorics, divide and conquer, dp"
Line,7,C,"math, number theory"
Exposition,6,E,"binary search, data structures, dsu, trees, two pointers"
Longest Regular Bracket Sequence,5,C,"constructive algorithms, data structures, dp, greedy, sortings, strings"
Mysterious Present,4,D,"dp, sortings"
Tic-tac-toe,3,C,"brute force, games, implementation"
Lorry,3,B,"greedy, sortings"
